Date,Apps & Games,Apps,Game
Q1 2019,28.1,18.43,9.67
Q2 2019,28.7,18.24,10.46
Q3 2019,29.6,18.47,11.13
Q4 2019,28.7,17.78,10.92
Q1 2020,33.6,20.28,13.32
Q2 2020,37.8,22.74,15.06
Q3 2020,36.5,22.3,14.17
Q4 2020,35,21.41,13.59
Q1 2021,36.7,22.6,14.1
Q2 2021,35.8,21.8,14
Q3 2021,35.7,22.1,13.6
Q4 2021,35.4,21.8,13.6
