,single_player_video_game,co_op_mode,multiplayer_video_game,player_versus_player,shared_splitscreen_multiplayer,lang,dates
0,4089369.0,292697.0,1503182.0,34516.0,18026.0,en,2019-01-01
1,4335576.0,315419.0,1597016.0,34317.0,16068.0,en,2019-01-02
2,4173292.0,312182.0,1567953.0,32830.0,14092.0,en,2019-01-03
3,4075943.0,292553.0,1507126.0,30287.0,13563.0,en,2019-01-04
4,4066532.0,286234.0,1487420.0,30417.0,13792.0,en,2019-01-05
5,4277840.0,297085.0,1565903.0,29278.0,13095.0,en,2019-01-06
6,4123884.0,286120.0,1489807.0,28624.0,13401.0,en,2019-01-07
7,3941381.0,272520.0,1452671.0,28772.0,13785.0,en,2019-01-08
8,3913640.0,275785.0,1438614.0,28897.0,13955.0,en,2019-01-09
9,3957640.0,281828.0,1458264.0,32505.0,14888.0,en,2019-01-10
10,3900761.0,290032.0,1458597.0,30965.0,14963.0,en,2019-01-11
11,4027285.0,294176.0,1514193.0,30022.0,14539.0,en,2019-01-12
12,4246209.0,305899.0,1660690.0,29993.0,14634.0,en,2019-01-13
13,4228225.0,296849.0,1611601.0,29179.0,15113.0,en,2019-01-14
14,4064986.0,277210.0,1475165.0,28643.0,15205.0,en,2019-01-15
15,4020738.0,300303.0,1496746.0,30091.0,15110.0,en,2019-01-16
16,3994014.0,293614.0,1528925.0,29943.0,15221.0,en,2019-01-17
17,3986068.0,292171.0,1548516.0,29411.0,14488.0,en,2019-01-18
18,3900387.0,286475.0,1508206.0,27673.0,13607.0,en,2019-01-19
19,4232121.0,300379.0,1605936.0,29304.0,14792.0,en,2019-01-20
20,4050347.0,285796.0,1503724.0,28692.0,15911.0,en,2019-01-21
21,4021418.0,281418.0,1515194.0,28812.0,15109.0,en,2019-01-22
22,3916511.0,277403.0,1457516.0,28314.0,15819.0,en,2019-01-23
23,3968296.0,274726.0,1474585.0,28693.0,14423.0,en,2019-01-24
24,3923079.0,268740.0,1390507.0,27904.0,15707.0,en,2019-01-25
25,4031190.0,280031.0,1432494.0,26039.0,12484.0,en,2019-01-26
26,4347893.0,307495.0,1553313.0,27948.0,17485.0,en,2019-01-27
27,4261100.0,294603.0,1489335.0,28197.0,15335.0,en,2019-01-28
28,4246381.0,280862.0,1451658.0,27192.0,14433.0,en,2019-01-29
29,4085759.0,276594.0,1417643.0,28520.0,13655.0,en,2019-01-30
30,4087290.0,278857.0,1445330.0,29273.0,13885.0,en,2019-01-31
31,3906539.0,273328.0,1432493.0,28180.0,12704.0,en,2019-02-01
32,3945303.0,278087.0,1446300.0,28066.0,11575.0,en,2019-02-02
33,4223315.0,296210.0,1528658.0,30977.0,14827.0,en,2019-02-03
34,3931170.0,274079.0,1439694.0,27201.0,12294.0,en,2019-02-04
35,3888561.0,277874.0,1432243.0,28319.0,13148.0,en,2019-02-05
36,3808899.0,280062.0,1418077.0,27979.0,12824.0,en,2019-02-06
37,3748857.0,285008.0,1396358.0,30161.0,12754.0,en,2019-02-07
38,3752079.0,277667.0,1384758.0,28950.0,12105.0,en,2019-02-08
39,3753237.0,283399.0,1392899.0,32025.0,11061.0,en,2019-02-09
40,4100005.0,301048.0,1533242.0,29453.0,12280.0,en,2019-02-10
