Date,"Board game","Monopoly (game)","Catan","Scrabble","Chess"
2019-01,29840,100564,46786,33246,159669
2019-02,24075,76784,33011,21991,130497
2019-03,24678,84595,31725,24033,127772
2019-04,21487,83716,28058,21253,110685
2019-05,22155,82915,28700,21874,109028
2019-06,23392,75869,29058,22811,115015
2019-07,26336,76124,33229,25593,118884
2019-08,21631,81809,33817,22726,116786
2019-09,21882,86471,27087,21658,118143
2019-10,23942,84137,29001,22816,117973
2019-11,23926,85820,39496,29198,120828
2019-12,23636,102669,61156,26456,125759
2020-01,24860,93654,48862,27615,128006
2020-02,22749,79114,33476,22338,116992
2020-03,30091,107428,53225,29740,130942
2020-04,35711,157107,63935,44007,162040
2020-05,29419,135105,55612,37000,154370
2020-06,23418,90518,39281,27265,136302
2020-07,21767,91311,40277,23841,123748
2020-08,21794,86957,44860,23495,127305
2020-09,22481,71021,43342,22428,104549
2020-10,23999,78361,35491,24601,167759
2020-11,27049,89296,52921,25415,427482
2020-12,27338,113340,69985,28414,326862
2021-01,27915,102228,52832,28726,260970
2021-02,23975,84049,36069,22365,184819
2021-03,28482,90099,34238,27415,191346
2021-04,25460,87416,29334,32777,147648
2021-05,22905,75313,32732,29957,134806
2021-06,19149,63453,26621,20751,119446
2021-07,20136,70629,28234,19434,139058
2021-08,22180,75015,29810,17829,131378
2021-09,22484,66313,26698,16928,127733
2021-10,23784,68042,29026,18805,131561
2021-11,22708,71110,36876,18000,138288
2021-12,23227,91675,53887,20654,157616
