,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
0,382181.0,30111.0,135523.0,ja,2019-01-01
1,416434.0,32508.0,147832.0,ja,2019-01-02
2,434501.0,36215.0,158143.0,ja,2019-01-03
3,419085.0,33253.0,152088.0,ja,2019-01-04
4,451041.0,36252.0,159614.0,ja,2019-01-05
5,456639.0,35431.0,159430.0,ja,2019-01-06
6,377509.0,29051.0,135186.0,ja,2019-01-07
7,363990.0,27895.0,131651.0,ja,2019-01-08
8,371385.0,27439.0,140707.0,ja,2019-01-09
9,359012.0,27639.0,135889.0,ja,2019-01-10
10,359236.0,29576.0,134748.0,ja,2019-01-11
11,419637.0,34114.0,158627.0,ja,2019-01-12
12,446385.0,38173.0,166321.0,ja,2019-01-13
13,462667.0,35777.0,169841.0,ja,2019-01-14
14,392691.0,31509.0,145898.0,ja,2019-01-15
15,407930.0,29826.0,150545.0,ja,2019-01-16
16,398503.0,28886.0,152236.0,ja,2019-01-17
17,403751.0,29391.0,153035.0,ja,2019-01-18
18,454835.0,36184.0,171518.0,ja,2019-01-19
19,462253.0,36574.0,174799.0,ja,2019-01-20
20,400514.0,31388.0,154399.0,ja,2019-01-21
21,389402.0,30166.0,149383.0,ja,2019-01-22
22,387066.0,30066.0,146119.0,ja,2019-01-23
23,392625.0,28739.0,141599.0,ja,2019-01-24
24,418779.0,29077.0,140620.0,ja,2019-01-25
25,476435.0,34446.0,164944.0,ja,2019-01-26
26,479134.0,36896.0,166485.0,ja,2019-01-27
27,412345.0,32245.0,143965.0,ja,2019-01-28
28,397043.0,32334.0,139767.0,ja,2019-01-29
29,396304.0,32184.0,138721.0,ja,2019-01-30
30,380571.0,31631.0,139318.0,ja,2019-01-31
31,374096.0,31152.0,136001.0,ja,2019-02-01
32,435501.0,37347.0,157564.0,ja,2019-02-02
33,466213.0,39008.0,162569.0,ja,2019-02-03
34,388063.0,33134.0,139334.0,ja,2019-02-04
35,389372.0,33812.0,142454.0,ja,2019-02-05
36,382210.0,32437.0,139916.0,ja,2019-02-06
37,377767.0,33802.0,138127.0,ja,2019-02-07
38,374479.0,31814.0,135571.0,ja,2019-02-08
39,429523.0,36630.0,152998.0,ja,2019-02-09
40,459398.0,36472.0,156376.0,ja,2019-02-10
41,466216.0,38165.0,161292.0,ja,2019-02-11
42,380050.0,30199.0,134683.0,ja,2019-02-12
43,378055.0,29142.0,129322.0,ja,2019-02-13
44,444758.0,30055.0,138073.0,ja,2019-02-14
45,388232.0,28700.0,137430.0,ja,2019-02-15
46,429948.0,33929.0,155229.0,ja,2019-02-16
47,440763.0,37567.0,159409.0,ja,2019-02-17
48,386149.0,30313.0,141807.0,ja,2019-02-18
49,378916.0,29441.0,140425.0,ja,2019-02-19
50,361559.0,27647.0,132475.0,ja,2019-02-20
51,354873.0,27498.0,130042.0,ja,2019-02-21
52,368504.0,28173.0,130011.0,ja,2019-02-22
53,408384.0,31855.0,144825.0,ja,2019-02-23
54,437156.0,31860.0,154788.0,ja,2019-02-24
55,371792.0,28256.0,136457.0,ja,2019-02-25
56,363426.0,27047.0,135434.0,ja,2019-02-26
57,363562.0,26015.0,140066.0,ja,2019-02-27
58,357878.0,26531.0,137397.0,ja,2019-02-28
59,346647.0,26396.0,127635.0,ja,2019-03-01
60,397346.0,29269.0,143954.0,ja,2019-03-02
61,424214.0,31933.0,153301.0,ja,2019-03-03
62,378754.0,28619.0,140335.0,ja,2019-03-04
63,356802.0,27086.0,131760.0,ja,2019-03-05
