,action_adventure_game,action_game,platform_game,puzzle_video_game,adventure_game,role-playing_video_game,indie_game,dates,lang
0,65788.0,38047.0,44515.0,11100.0,23636.0,23579.0,7953.0,2019-01-01,fr
1,65630.0,40573.0,40237.0,12359.0,25133.0,24399.0,9032.0,2019-01-02,fr
2,65444.0,40829.0,44084.0,12199.0,24522.0,23751.0,8972.0,2019-01-03,fr
3,68953.0,38194.0,40856.0,11447.0,26040.0,24381.0,8864.0,2019-01-04,fr
4,68151.0,38250.0,40505.0,13014.0,29795.0,24154.0,9355.0,2019-01-05,fr
5,69433.0,40929.0,43117.0,12524.0,29649.0,27134.0,9817.0,2019-01-06,fr
6,58440.0,35502.0,33066.0,11644.0,24671.0,23419.0,9492.0,2019-01-07,fr
7,54388.0,34591.0,30992.0,11578.0,24419.0,21860.0,9072.0,2019-01-08,fr
8,53516.0,34253.0,29713.0,10956.0,23251.0,21365.0,8488.0,2019-01-09,fr
9,55154.0,33666.0,29765.0,10691.0,23146.0,20905.0,9083.0,2019-01-10,fr
10,55951.0,32781.0,29199.0,9950.0,22105.0,19643.0,8305.0,2019-01-11,fr
11,61906.0,36951.0,32187.0,10458.0,23735.0,22865.0,8605.0,2019-01-12,fr
12,70717.0,43264.0,36871.0,11782.0,28179.0,25987.0,9831.0,2019-01-13,fr
13,58638.0,36925.0,31032.0,11523.0,24357.0,25298.0,10052.0,2019-01-14,fr
14,59732.0,35995.0,29202.0,11341.0,23233.0,22734.0,9566.0,2019-01-15,fr
15,59214.0,36742.0,30489.0,10869.0,24517.0,21915.0,8890.0,2019-01-16,fr
16,55345.0,34952.0,29216.0,10549.0,22826.0,20579.0,8853.0,2019-01-17,fr
17,52442.0,35126.0,29470.0,10112.0,22138.0,20602.0,8369.0,2019-01-18,fr
18,58157.0,36781.0,47896.0,12574.0,43228.0,50698.0,8213.0,2019-01-19,fr
19,66775.0,40173.0,37016.0,12710.0,26963.0,27433.0,8639.0,2019-01-20,fr
