Date,"Christianity","Islam","Buddhism","Judaism","Hinduism"
2019-01,204235,254463,271114,163829,227313
2019-02,185558,224077,232344,145908,193529
2019-03,199707,301353,241656,166589,210285
2019-04,219149,265851,251006,175345,201054
2019-05,197016,261000,234668,163893,200617
2019-06,173084,211063,204092,132423,180373
2019-07,167723,203262,200267,125238,179722
2019-08,176792,220051,221255,143308,211654
2019-09,198715,238299,225481,175219,216878
2019-10,221212,249527,239588,174881,239771
2019-11,210985,244875,227357,163860,224044
2019-12,208157,231979,214687,182422,210850
2020-01,210498,276537,228356,189794,223562
2020-02,184680,214667,203544,155567,204105
2020-03,174331,213154,193095,164304,194545
2020-04,217560,282789,237077,237632,253516
2020-05,182044,247034,238902,170790,227974
2020-06,152862,185706,189124,126722,169581
2020-07,149674,188774,189716,133849,178540
2020-08,169951,198376,197333,140908,206692
2020-09,188606,192093,199671,157163,188566
2020-10,210772,237349,211717,153922,210653
2020-11,197159,235021,195557,148007,215049
2020-12,194667,222264,198523,161484,205608
2021-01,193906,206643,205444,148813,203246
2021-02,176899,191829,195855,129318,174793
2021-03,203368,220411,212685,142440,198338
2021-04,204849,231141,198557,150909,192271
2021-05,216111,289071,208539,349131,236155
2021-06,163491,219508,164071,129643,178329
2021-07,160944,193634,160886,108781,181957
2021-08,182517,268965,168894,114667,203712
2021-09,194772,237603,186337,122833,210671
2021-10,188720,210731,181686,119604,194577
2021-11,176837,184446,168425,119698,187572
2021-12,182329,185617,164500,129607,182022
