,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
106,130030.0,9277.0,59883.0,it,2019-04-17
107,138137.0,9881.0,60072.0,it,2019-04-18
108,144014.0,10561.0,58293.0,it,2019-04-19
109,137407.0,9671.0,56461.0,it,2019-04-20
110,160278.0,11223.0,71849.0,it,2019-04-21
111,163169.0,11362.0,76214.0,it,2019-04-22
112,172288.0,12250.0,79714.0,it,2019-04-23
113,174129.0,12309.0,67264.0,it,2019-04-24
114,189941.0,12714.0,70164.0,it,2019-04-25
115,194729.0,13702.0,64989.0,it,2019-04-26
116,175648.0,11645.0,60581.0,it,2019-04-27
117,189956.0,13458.0,75625.0,it,2019-04-28
118,167384.0,11657.0,62799.0,it,2019-04-29
119,152196.0,10686.0,58624.0,it,2019-04-30
120,173204.0,12227.0,66084.0,it,2019-05-01
121,166635.0,11460.0,58660.0,it,2019-05-02
122,159762.0,12093.0,58323.0,it,2019-05-03
123,175934.0,12321.0,63786.0,it,2019-05-04
124,191547.0,19769.0,75908.0,it,2019-05-05
125,152704.0,10912.0,61851.0,it,2019-05-06
126,146193.0,9597.0,56590.0,it,2019-05-07
127,138829.0,9373.0,55297.0,it,2019-05-08
128,132039.0,9805.0,52901.0,it,2019-05-09
129,136248.0,10505.0,54223.0,it,2019-05-10
130,161542.0,17593.0,68204.0,it,2019-05-11
131,168610.0,12668.0,74463.0,it,2019-05-12
132,166753.0,10051.0,80675.0,it,2019-05-13
133,148242.0,9597.0,61144.0,it,2019-05-14
134,140242.0,9754.0,57228.0,it,2019-05-15
135,138493.0,11166.0,56267.0,it,2019-05-16
136,148868.0,9747.0,56225.0,it,2019-05-17
137,152067.0,10527.0,64531.0,it,2019-05-18
138,165603.0,11213.0,73000.0,it,2019-05-19
139,141911.0,9644.0,58068.0,it,2019-05-20
140,148788.0,9367.0,63976.0,it,2019-05-21
141,144207.0,9196.0,58631.0,it,2019-05-22
142,139489.0,9089.0,56307.0,it,2019-05-23
143,137296.0,9187.0,54812.0,it,2019-05-24
144,155913.0,10083.0,62119.0,it,2019-05-25
145,163710.0,10601.0,71581.0,it,2019-05-26
146,163295.0,11443.0,64641.0,it,2019-05-27
147,154315.0,12037.0,60967.0,it,2019-05-28
148,158977.0,12537.0,68418.0,it,2019-05-29
149,156417.0,12022.0,68086.0,it,2019-05-30
150,152360.0,10119.0,58991.0,it,2019-05-31
151,141094.0,9990.0,59689.0,it,2019-06-01
152,157190.0,10897.0,69297.0,it,2019-06-02
153,143824.0,9928.0,60778.0,it,2019-06-03
154,169827.0,10332.0,60698.0,it,2019-06-04
155,143101.0,11069.0,60168.0,it,2019-06-05
156,137101.0,12049.0,59641.0,it,2019-06-06
157,130475.0,11262.0,55315.0,it,2019-06-07
158,134426.0,10657.0,59489.0,it,2019-06-08
159,165941.0,12604.0,79556.0,it,2019-06-09
160,159863.0,13689.0,76266.0,it,2019-06-10
161,152831.0,13251.0,67417.0,it,2019-06-11
162,147638.0,12713.0,64069.0,it,2019-06-12
163,140494.0,12096.0,61621.0,it,2019-06-13
164,132683.0,11001.0,59731.0,it,2019-06-14
165,135540.0,10839.0,60433.0,it,2019-06-15
166,151463.0,11864.0,68242.0,it,2019-06-16
167,144520.0,11630.0,61328.0,it,2019-06-17
168,137433.0,10427.0,59381.0,it,2019-06-18
169,129456.0,9725.0,57416.0,it,2019-06-19
170,129191.0,9759.0,57105.0,it,2019-06-20
171,154799.0,9743.0,59109.0,it,2019-06-21
172,145424.0,10800.0,60698.0,it,2019-06-22
173,148732.0,10698.0,68047.0,it,2019-06-23
174,141131.0,10199.0,59266.0,it,2019-06-24
175,141574.0,9477.0,64310.0,it,2019-06-25
176,129061.0,9624.0,55281.0,it,2019-06-26
177,124700.0,9177.0,54431.0,it,2019-06-27
178,132406.0,9061.0,51221.0,it,2019-06-28
179,126296.0,8728.0,51067.0,it,2019-06-29
180,144779.0,9487.0,67510.0,it,2019-06-30
181,144869.0,9378.0,58647.0,it,2019-07-01
182,138152.0,9266.0,57353.0,it,2019-07-02
183,146876.0,9187.0,66790.0,it,2019-07-03
184,130771.0,8776.0,53945.0,it,2019-07-04
185,118574.0,8381.0,50167.0,it,2019-07-05
186,122289.0,8236.0,51771.0,it,2019-07-06
187,147646.0,9642.0,63021.0,it,2019-07-07
188,141178.0,9643.0,58411.0,it,2019-07-08
189,142486.0,10460.0,57973.0,it,2019-07-09
190,140719.0,9754.0,55835.0,it,2019-07-10
191,141482.0,10167.0,54980.0,it,2019-07-11
192,131324.0,9610.0,53854.0,it,2019-07-12
193,142905.0,9312.0,56177.0,it,2019-07-13
194,166272.0,10030.0,82602.0,it,2019-07-14
195,166047.0,10264.0,67693.0,it,2019-07-15
196,146137.0,10133.0,63320.0,it,2019-07-16
197,135613.0,10084.0,58399.0,it,2019-07-17
198,142830.0,9515.0,56573.0,it,2019-07-18
199,137795.0,10020.0,55670.0,it,2019-07-19
200,134376.0,9001.0,56554.0,it,2019-07-20
201,154000.0,10359.0,60407.0,it,2019-07-21
202,143614.0,10079.0,60387.0,it,2019-07-22
203,138154.0,9432.0,60997.0,it,2019-07-23
204,152490.0,9336.0,56087.0,it,2019-07-24
205,164529.0,9439.0,55255.0,it,2019-07-25
206,138521.0,9149.0,54301.0,it,2019-07-26
207,141799.0,10152.0,61099.0,it,2019-07-27
208,163479.0,12596.0,72743.0,it,2019-07-28
209,152318.0,14950.0,63691.0,it,2019-07-29
210,151171.0,14482.0,66518.0,it,2019-07-30
211,149412.0,12432.0,66018.0,it,2019-07-31
212,139757.0,11323.0,62572.0,it,2019-08-01
213,135855.0,10631.0,57934.0,it,2019-08-02
214,130362.0,10199.0,56772.0,it,2019-08-03
215,139207.0,10073.0,64646.0,it,2019-08-04
216,141803.0,10729.0,60556.0,it,2019-08-05
217,143484.0,10971.0,64795.0,it,2019-08-06
