,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
0,138401.0,18744.0,77642.0,fr,2019-01-01
1,140859.0,18619.0,77999.0,fr,2019-01-02
2,147745.0,18472.0,77012.0,fr,2019-01-03
3,146466.0,18194.0,75839.0,fr,2019-01-04
4,143140.0,17959.0,78149.0,fr,2019-01-05
5,151125.0,18639.0,79789.0,fr,2019-01-06
6,137174.0,17368.0,72245.0,fr,2019-01-07
7,131784.0,16733.0,72549.0,fr,2019-01-08
8,125861.0,16020.0,68573.0,fr,2019-01-09
9,128831.0,15311.0,70089.0,fr,2019-01-10
10,126209.0,15427.0,67821.0,fr,2019-01-11
11,139154.0,17573.0,75428.0,fr,2019-01-12
12,159121.0,19246.0,86486.0,fr,2019-01-13
13,143052.0,16987.0,74919.0,fr,2019-01-14
14,141849.0,16082.0,75064.0,fr,2019-01-15
15,144122.0,15449.0,75958.0,fr,2019-01-16
16,131334.0,14517.0,71137.0,fr,2019-01-17
17,124939.0,14820.0,69808.0,fr,2019-01-18
18,148265.0,17297.0,77198.0,fr,2019-01-19
19,149358.0,17465.0,80036.0,fr,2019-01-20
20,131628.0,15876.0,70510.0,fr,2019-01-21
21,127105.0,15092.0,68005.0,fr,2019-01-22
22,130536.0,15856.0,70412.0,fr,2019-01-23
23,121472.0,14479.0,65714.0,fr,2019-01-24
24,118431.0,14221.0,63393.0,fr,2019-01-25
25,129555.0,16431.0,68536.0,fr,2019-01-26
26,151156.0,18363.0,78033.0,fr,2019-01-27
27,131146.0,15295.0,68214.0,fr,2019-01-28
28,125597.0,15050.0,65501.0,fr,2019-01-29
29,125449.0,15309.0,67476.0,fr,2019-01-30
30,120457.0,14708.0,63337.0,fr,2019-01-31
31,118430.0,14492.0,62996.0,fr,2019-02-01
32,123391.0,17602.0,69186.0,fr,2019-02-02
33,141966.0,19375.0,77836.0,fr,2019-02-03
34,123195.0,15812.0,68612.0,fr,2019-02-04
35,113996.0,15404.0,66860.0,fr,2019-02-05
36,119688.0,15712.0,67786.0,fr,2019-02-06
37,109065.0,14380.0,61721.0,fr,2019-02-07
38,107250.0,14994.0,61083.0,fr,2019-02-08
39,112583.0,15457.0,64731.0,fr,2019-02-09
40,132103.0,18475.0,76642.0,fr,2019-02-10
41,120489.0,16095.0,72150.0,fr,2019-02-11
42,112735.0,15008.0,68452.0,fr,2019-02-12
43,110697.0,14561.0,67363.0,fr,2019-02-13
44,106116.0,14386.0,63591.0,fr,2019-02-14
45,105645.0,14751.0,66001.0,fr,2019-02-15
46,109696.0,14736.0,66138.0,fr,2019-02-16
47,142287.0,15497.0,69468.0,fr,2019-02-17
48,119703.0,15434.0,70640.0,fr,2019-02-18
49,117027.0,14760.0,69514.0,fr,2019-02-19
50,112277.0,14354.0,67658.0,fr,2019-02-20
51,110467.0,13787.0,65699.0,fr,2019-02-21
52,111241.0,14347.0,64821.0,fr,2019-02-22
53,108969.0,14412.0,65402.0,fr,2019-02-23
54,124232.0,16094.0,69818.0,fr,2019-02-24
55,121365.0,15142.0,66344.0,fr,2019-02-25
56,112390.0,14063.0,63878.0,fr,2019-02-26
57,110823.0,13951.0,64104.0,fr,2019-02-27
58,116725.0,14311.0,62313.0,fr,2019-02-28
59,113056.0,14625.0,63623.0,fr,2019-03-01
60,112664.0,14590.0,65113.0,fr,2019-03-02
61,127908.0,15478.0,72622.0,fr,2019-03-03
62,122431.0,15272.0,69888.0,fr,2019-03-04
63,114438.0,14558.0,69167.0,fr,2019-03-05
64,118092.0,13554.0,66807.0,fr,2019-03-06
65,111060.0,14251.0,65995.0,fr,2019-03-07
66,111863.0,14908.0,63774.0,fr,2019-03-08
67,120189.0,15241.0,67710.0,fr,2019-03-09
68,135509.0,16435.0,74104.0,fr,2019-03-10
69,125507.0,13773.0,70295.0,fr,2019-03-11
70,113407.0,13267.0,62998.0,fr,2019-03-12
71,110618.0,13364.0,61600.0,fr,2019-03-13
72,108622.0,12906.0,58899.0,fr,2019-03-14
73,105634.0,13058.0,58507.0,fr,2019-03-15
74,110352.0,13844.0,61187.0,fr,2019-03-16
75,133056.0,15783.0,70156.0,fr,2019-03-17
76,120031.0,13310.0,63410.0,fr,2019-03-18
77,116869.0,12991.0,61404.0,fr,2019-03-19
78,117382.0,13646.0,61162.0,fr,2019-03-20
79,109171.0,12591.0,57499.0,fr,2019-03-21
80,107133.0,12838.0,59113.0,fr,2019-03-22
81,119122.0,12730.0,62169.0,fr,2019-03-23
82,134248.0,14881.0,70318.0,fr,2019-03-24
83,127989.0,13619.0,66851.0,fr,2019-03-25
84,116331.0,13483.0,63436.0,fr,2019-03-26
85,118492.0,15246.0,64747.0,fr,2019-03-27
86,110226.0,13104.0,60830.0,fr,2019-03-28
87,110310.0,14042.0,62301.0,fr,2019-03-29
88,118517.0,14526.0,65901.0,fr,2019-03-30
89,130872.0,15980.0,74630.0,fr,2019-03-31
90,123369.0,14306.0,67775.0,fr,2019-04-01
91,115514.0,13413.0,63442.0,fr,2019-04-02
92,119974.0,13735.0,63299.0,fr,2019-04-03
93,119310.0,13120.0,60329.0,fr,2019-04-04
94,108926.0,12380.0,58154.0,fr,2019-04-05
95,113840.0,14069.0,61650.0,fr,2019-04-06
96,131085.0,15035.0,69055.0,fr,2019-04-07
97,122824.0,13550.0,63941.0,fr,2019-04-08
98,119799.0,13471.0,61769.0,fr,2019-04-09
99,122247.0,13355.0,61010.0,fr,2019-04-10
100,119150.0,13106.0,59466.0,fr,2019-04-11
101,121911.0,12629.0,58079.0,fr,2019-04-12
102,135247.0,13254.0,60905.0,fr,2019-04-13
103,169744.0,14979.0,69979.0,fr,2019-04-14
104,180862.0,12764.0,65999.0,fr,2019-04-15
105,139852.0,12550.0,63071.0,fr,2019-04-16
106,120701.0,12538.0,59048.0,fr,2019-04-17
107,116521.0,12514.0,60549.0,fr,2019-04-18
108,114010.0,13635.0,61234.0,fr,2019-04-19
109,113467.0,13242.0,60987.0,fr,2019-04-20
110,147238.0,15688.0,68975.0,fr,2019-04-21
111,168246.0,14770.0,67864.0,fr,2019-04-22
112,147761.0,17447.0,70979.0,fr,2019-04-23
113,137413.0,15053.0,68995.0,fr,2019-04-24
114,129354.0,15117.0,65722.0,fr,2019-04-25
115,125611.0,14974.0,65115.0,fr,2019-04-26
116,130909.0,15107.0,66649.0,fr,2019-04-27
117,158273.0,17410.0,76973.0,fr,2019-04-28
118,175531.0,15086.0,70421.0,fr,2019-04-29
119,149535.0,14025.0,64916.0,fr,2019-04-30
120,150698.0,16502.0,71394.0,fr,2019-05-01
121,134617.0,17439.0,66672.0,fr,2019-05-02
122,136382.0,14948.0,63188.0,fr,2019-05-03
123,139221.0,15542.0,66621.0,fr,2019-05-04
124,152649.0,17192.0,71411.0,fr,2019-05-05
125,152351.0,14979.0,64179.0,fr,2019-05-06
126,138903.0,16503.0,67783.0,fr,2019-05-07
127,157808.0,18795.0,81880.0,fr,2019-05-08
128,135711.0,17410.0,69785.0,fr,2019-05-09
129,127766.0,15967.0,65013.0,fr,2019-05-10
130,134821.0,17266.0,69121.0,fr,2019-05-11
131,144424.0,17245.0,73396.0,fr,2019-05-12
132,156930.0,15027.0,66456.0,fr,2019-05-13
133,138971.0,13648.0,61635.0,fr,2019-05-14
134,124904.0,12975.0,59157.0,fr,2019-05-15
135,122248.0,14039.0,59493.0,fr,2019-05-16
136,125090.0,13162.0,60093.0,fr,2019-05-17
137,123135.0,14964.0,62715.0,fr,2019-05-18
138,146712.0,14977.0,67005.0,fr,2019-05-19
139,185727.0,13742.0,62214.0,fr,2019-05-20
140,146137.0,13474.0,58096.0,fr,2019-05-21
