,action_game,platform_game,puzzle_video_game,adventure_game,role-playing_video_game,indie_game,dates,lang
0,562002.0,488044.0,182155.0,323925.0,310041.0,237592.0,2019-01-01,en
1,574677.0,483951.0,194918.0,342547.0,345939.0,269106.0,2019-01-02,en
2,531250.0,449530.0,185846.0,330288.0,330077.0,264270.0,2019-01-03,en
3,519446.0,442067.0,185819.0,320519.0,320778.0,252596.0,2019-01-04,en
4,544844.0,475280.0,180726.0,307213.0,315282.0,245334.0,2019-01-05,en
5,564535.0,479944.0,188769.0,332394.0,324675.0,262945.0,2019-01-06,en
6,525822.0,450644.0,189531.0,332258.0,333284.0,275793.0,2019-01-07,en
7,497626.0,414125.0,193281.0,316192.0,309605.0,268087.0,2019-01-08,en
8,492936.0,415636.0,194891.0,305815.0,313383.0,260840.0,2019-01-09,en
9,500874.0,416185.0,214041.0,330577.0,320351.0,282043.0,2019-01-10,en
10,511334.0,420654.0,188379.0,301724.0,318982.0,256197.0,2019-01-11,en
11,547862.0,415668.0,192117.0,301130.0,323071.0,239238.0,2019-01-12,en
12,565392.0,447588.0,193725.0,319061.0,334226.0,255992.0,2019-01-13,en
13,541736.0,420698.0,197186.0,347388.0,352489.0,266582.0,2019-01-14,en
14,515244.0,409590.0,191048.0,317397.0,313779.0,264987.0,2019-01-15,en
15,569594.0,398556.0,210474.0,308232.0,296092.0,259728.0,2019-01-16,en
16,566272.0,392269.0,211776.0,303032.0,304041.0,259360.0,2019-01-17,en
17,533739.0,395277.0,199472.0,299514.0,294938.0,252415.0,2019-01-18,en
18,550182.0,400328.0,180771.0,289727.0,298517.0,234628.0,2019-01-19,en
19,574509.0,435497.0,198516.0,317454.0,325745.0,255582.0,2019-01-20,en
20,545116.0,406010.0,195647.0,313948.0,325626.0,258244.0,2019-01-21,en
21,515930.0,393808.0,198637.0,310607.0,299151.0,260791.0,2019-01-22,en
22,499475.0,377752.0,190962.0,308347.0,293533.0,263091.0,2019-01-23,en
23,479830.0,373910.0,188764.0,296410.0,292670.0,266361.0,2019-01-24,en
24,461288.0,360854.0,182574.0,288385.0,281721.0,248173.0,2019-01-25,en
25,493541.0,391616.0,192878.0,291099.0,288083.0,231366.0,2019-01-26,en
26,534089.0,426534.0,184100.0,319209.0,310340.0,251279.0,2019-01-27,en
27,501362.0,382433.0,193305.0,314766.0,312925.0,258332.0,2019-01-28,en
28,489924.0,369153.0,201062.0,303850.0,347431.0,257040.0,2019-01-29,en
29,482821.0,377906.0,186986.0,310626.0,335065.0,258257.0,2019-01-30,en
30,487705.0,388556.0,187640.0,332294.0,326299.0,263205.0,2019-01-31,en
31,466306.0,362572.0,178100.0,302980.0,309608.0,257522.0,2019-02-01,en
32,513844.0,385320.0,166264.0,310125.0,308532.0,250699.0,2019-02-02,en
33,535611.0,430887.0,178735.0,331656.0,325723.0,255595.0,2019-02-03,en
34,463532.0,376773.0,183838.0,307288.0,307333.0,264704.0,2019-02-04,en
35,462760.0,361933.0,184417.0,304883.0,297725.0,262949.0,2019-02-05,en
36,454890.0,352796.0,183793.0,312180.0,301403.0,261518.0,2019-02-06,en
37,467271.0,359462.0,182592.0,304789.0,290225.0,255211.0,2019-02-07,en
38,467936.0,353990.0,173802.0,333383.0,279044.0,260330.0,2019-02-08,en
