"DateTime";"PAYDAY 2";"Mount & Blade II: Bannerlord";"No Man's Sky";"Braveland";"For Honor";"Gene Shift Auto";"Tom Clancy's Rainbow Six Siege";"Envoy 2";"Dota Underlords";"MONSTER HUNTER RISE"
"2019-05-02 00:00:00";21678;;4068;1222;12825;1313;109311;244375;;
"2019-05-16 00:00:00";15438;;7535;1474;8259;1473;115531;527;;
"2019-05-30 00:00:00";15641;;5343;927;6807;573;134534;2;;
"2019-06-13 00:00:00";14730;;4129;1188;6960;2070;140445;2;202334;
"2019-06-27 00:00:00";23340;;6914;660;5071;577;128935;4;138040;
"2019-07-11 00:00:00";23038;;6692;564;5242;549;120138;12;95862;
"2019-07-25 00:00:00";17440;;5820;156;9658;164;107710;2;74397;
"2019-08-08 00:00:00";16818;;61707;183;8362;218;115973;2;64891;
"2019-08-22 00:00:00";15035;;46830;461;7417;2971;139650;2;48450;
"2019-09-05 00:00:00";15356;;19364;260;6016;107;148620;2;39648;
"2019-09-19 00:00:00";13580;;10449;192;6902;144;142341;4;33166;
"2019-10-03 00:00:00";15892;;8593;263;4997;107;118948;1;27398;
"2019-10-17 00:00:00";27979;;6536;682;5592;441;127276;9;43657;
"2019-10-31 00:00:00";56582;;5286;468;7546;515;118937;9;33168;
"2019-11-14 00:00:00";37628;;4028;147;5580;155;125817;6;21927;
"2019-11-28 00:00:00";37827;;11168;188;4671;160;140398;10;20177;
"2019-12-12 00:00:00";37648;;7678;748;5832;618;129183;5;16450;
"2019-12-26 00:00:00";39376;;8525;396;4535;204;140199;3;15284;
"2020-01-09 00:00:00";29392;;9537;221;5205;172;151916;7;14218;
"2020-01-23 00:00:00";30754;;10661;488;5324;78;160055;3;13520;
"2020-02-06 00:00:00";32390;;8686;41;6752;192;160654;4;13119;
"2020-02-20 00:00:00";27870;;18045;210;5959;272;180463;1;30643;
"2020-03-05 00:00:00";26941;;10880;207;6338;210;196352;1;23315;
"2020-03-19 00:00:00";36470;228662;8621;191;7242;410;199307;1;18504;
"2020-04-02 00:00:00";35053;248216;25442;244;5466;299;194477;2;23152;
"2020-04-16 00:00:00";37406;146971;18713;207;5346;396;165846;2;13605;
"2020-04-30 00:00:00";61765;77973;12200;52;5259;1356;146761;2;11579;
"2020-05-14 00:00:00";58000;45659;8937;183;5281;440;122190;3;11405;
"2020-05-28 00:00:00";55721;27542;11991;231;5284;2770;118736;1;9769;
"2020-06-11 00:00:00";57094;23250;10733;2683;9795;1570;126901;1;9141;
"2020-06-25 00:00:00";50374;21681;11756;864;6436;678;122813;2;9650;
"2020-07-09 00:00:00";48533;18994;21916;247;6121;491;121453;1;7527;
"2020-07-23 00:00:00";43961;19152;18646;374;10139;266;132047;2;7721;
"2020-08-06 00:00:00";47000;17471;11929;311;13396;336;102217;1;7631;
"2020-08-20 00:00:00";46312;19176;9176;259;7457;459;108151;2;12220;
"2020-09-03 00:00:00";39999;19175;7568;587;5224;559;163904;1;10380;
"2020-09-17 00:00:00";41139;17454;34802;339;6567;387;137990;3;8968;
"2020-10-01 00:00:00";49389;19923;30779;356;4439;492;115637;2;8124;
"2020-10-15 00:00:00";54123;16983;16110;268;4833;417;107700;2;8075;
"2020-10-29 00:00:00";53935;16035;16367;198;4410;256;95653;1;7081;
"2020-11-12 00:00:00";56880;15389;14594;199;4401;247;95794;1;7048;
"2020-11-26 00:00:00";57837;14891;12825;176;4720;373;124380;1;6622;
"2020-12-10 00:00:00";51674;14601;9918;202;5902;282;114688;1;9027;
"2020-12-24 00:00:00";57266;19600;12760;304;5281;334;118070;2;8546;
"2021-01-07 00:00:00";41357;20867;10835;62;5084;119;124027;1;6449;
"2021-01-21 00:00:00";44285;20629;9201;65;4840;110;124281;1;6240;
"2021-02-04 00:00:00";44614;19319;9536;54;5278;165;113595;2;6067;
"2021-02-18 00:00:00";38588;19575;15169;152;4889;126;112152;1;6219;
"2021-03-04 00:00:00";33592;20530;9966;136;5972;149;171738;1;6173;
"2021-03-18 00:00:00";35012;24304;9338;75;6695;129;201053;1;6398;
"2021-04-01 00:00:00";51108;23771;20987;109;5945;137;142501;1;6362;
"2021-04-15 00:00:00";59050;22902;13042;52;5194;67;123995;1;5975;
"2021-04-29 00:00:00";55459;22579;9721;60;5029;90;109460;1;5457;
"2021-05-13 00:00:00";57337;22128;13546;89;4073;142;102794;1;5445;
"2021-05-27 00:00:00";52555;17342;19929;165;3947;86;90705;1;5378;
"2021-06-10 00:00:00";50667;18548;13505;83;5126;89;100732;1;5035;
"2021-06-24 00:00:00";54149;22631;11818;1693;6544;943;90538;2;4703;
"2021-07-08 00:00:00";56108;23213;10051;159;4884;72;89930;1;4548;
"2021-07-22 00:00:00";31640;19518;8014;69;7449;80;93643;1;4523;
"2021-08-05 00:00:00";52936;22019;8316;59;5162;53;80698;1;4477;
"2021-08-19 00:00:00";48998;22250;15120;68;4942;59;83264;1;4392;
"2021-09-02 00:00:00";45769;20538;38539;16;5950;20;111638;1;4177;
"2021-09-16 00:00:00";46872;19027;28615;59;6388;77;102233;1;4224;
"2021-09-30 00:00:00";40335;18578;17757;36;4723;37;80679;1;3771;
"2021-10-14 00:00:00";46748;19105;13810;80;4765;91;79179;2;3848;
"2021-10-28 00:00:00";51330;21420;12376;605;6571;407;74925;1;3753;
"2021-11-11 00:00:00";44015;20643;8810;612;5018;291;71607;1;3683;
"2021-11-25 00:00:00";64777;20977;13162;517;5036;517;84396;2;3578;
"2021-12-09 00:00:00";45295;26361;11388;337;4592;491;73896;1;3375;
"2021-12-23 00:00:00";46869;30262;10773;298;5055;316;74377;2;3478;
"2022-01-06 00:00:00";48879;34701;10211;135;5357;360;75214;1;3524;134262
"2022-01-20 00:00:00";50463;32951;8958;11;8635;36;72226;1;3639;118517
"2022-02-03 00:00:00";47276;29889;8061;20;7676;16;73414;1;3445;61511
"2022-02-17 00:00:00";48249;23486;14328;2002;5950;1885;78263;1;3397;31347
"2022-03-03 00:00:00";44934;20830;11077;16;4720;221;97623;1;3536;18113
"2022-03-17 00:00:00";47457;23288;8428;18;5872;32;109487;1;3538;27758
"2022-03-31 00:00:00";47026;24143;13552;110;5183;339;93674;1;3729;18527
"2022-04-14 00:00:00";42516;23124;31880;19;4391;27;82804;1;3503;13555
"2022-04-28 00:00:00";50657;22539;23531;114;4395;253;76613;1;3451;29820
"2022-05-12 00:00:00";54674;19425;17751;106;4872;264;64534;1;3418;31601
"2022-05-26 00:00:00";43836;19022;28522;42;4139;147;67352;1;3419;25399
"2022-06-09 00:00:00";44168;24050;20096;174;5523;264;71005;1;3421;61467
"2022-06-23 00:00:00";60785;22871;16626;98;4838;24;67267;2;3214;231360
"2022-07-07 00:00:00";65522;21580;16163;68;5303;321;62923;1;3343;203320
"2022-07-21 00:00:00";71224;21030;40866;16;10145;12;62508;1;3326;130429
"2022-08-04 00:00:00";50910;21703;29793;1822;6959;1180;59256;1;3233;144520
"2022-08-18 00:00:00";50858;25119;18632;81;5509;185;53270;2;3223;89022
"2022-09-01 00:00:00";56709;25787;16642;163;5117;339;66588;1;3129;51791
"2022-09-15 00:00:00";46923;25479;11468;9;4896;126;65012;1;3103;37293
"2022-09-29 00:00:00";59303;26323;17669;7;4581;20;54459;1;3132;62834
"2022-10-13 00:00:00";44357;39452;20397;90;4814;13;54972;1;2955;33322
"2022-10-27 00:00:00";43997;58672;12638;345;4618;561;46805;1;3374;22371
"2022-11-10 00:00:00";43758;53773;10413;9;4053;15;41581;1;2781;22853
