"DateTime";"PAYDAY 2";"Mount & Blade II: Bannerlord";"No Man's Sky";"Braveland";"For Honor";"Gene Shift Auto";"Tom Clancy's Rainbow Six Siege";"Envoy 2";"Dota Underlords";"MONSTER HUNTER RISE"
"2012-12-20 00:00:00";19;;;;;;;;;
"2013-01-03 00:00:00";;;;;;;;;;
"2013-01-17 00:00:00";;;;;;;;;;
"2013-01-31 00:00:00";24;;;;;;;;;
"2013-02-14 00:00:00";;;;;;;;;;
"2013-02-28 00:00:00";24;;;;;;;;;
"2013-03-14 00:00:00";;;;;;;;;;
"2013-03-28 00:00:00";22;;;;;;;;;
"2013-04-11 00:00:00";;;;;;;;;;
"2013-04-25 00:00:00";30;;;;;;;;;
"2013-05-09 00:00:00";;;;;;;;;;
"2013-05-23 00:00:00";49;;;;;;;;;
"2013-06-06 00:00:00";;;;;;;;;;
"2013-06-20 00:00:00";29;;;;;;;;;
"2013-07-04 00:00:00";;;;;;;;;;
"2013-07-18 00:00:00";;;;;;;;;;
"2013-08-01 00:00:00";57622;;;;;;;;;
"2013-08-15 00:00:00";55232;;;;;;;;;
"2013-08-29 00:00:00";26789;;;;;;;;;
"2013-09-12 00:00:00";18785;;;;;;;;;
"2013-09-26 00:00:00";12773;;;;;;;;;
"2013-10-10 00:00:00";10446;;;;;;;;;
"2013-10-24 00:00:00";15145;;;;;;;;;
"2013-11-07 00:00:00";15203;;;;;;;;;
"2013-11-21 00:00:00";16216;;;;;;;;;
"2013-12-05 00:00:00";12114;;;;;;;;;
"2013-12-19 00:00:00";16595;;;;;;;;;
"2014-01-02 00:00:00";16592;;;;;;;;;
"2014-01-16 00:00:00";10600;;;;;;;;;
"2014-01-30 00:00:00";11599;;;;;;;;;
"2014-02-13 00:00:00";7682;;;;;;;;;
"2014-02-27 00:00:00";55122;;;142;;;;;;
"2014-03-13 00:00:00";55346;;;;;;;;;
"2014-03-27 00:00:00";24184;;;17;;;;;;
"2014-04-10 00:00:00";14349;;;;;;;;;
"2014-04-24 00:00:00";37936;;;11;;;;;;
"2014-05-08 00:00:00";11218;;;;;;;;;
"2014-05-22 00:00:00";63749;;;17;;;;;;
"2014-06-05 00:00:00";22060;;;;;;;;;
"2014-06-19 00:00:00";63814;;;14;;;;;;
"2014-07-03 00:00:00";50232;;;;;;;;;
"2014-07-17 00:00:00";28112;;;;;;;;;
"2014-07-31 00:00:00";24444;;;10;;;;;;
"2014-08-14 00:00:00";24586;;;;;;;;;
"2014-08-28 00:00:00";20467;;;6;;;;;;
"2014-09-11 00:00:00";17813;;;;;;;;;
"2014-09-25 00:00:00";72242;;;125;;;;;;
"2014-10-09 00:00:00";72358;;;;;;;;;
"2014-10-23 00:00:00";65345;;;25;;;;;;
"2014-11-06 00:00:00";39564;;;;;;;;;
"2014-11-20 00:00:00";30874;;;22;;;;;;
"2014-12-04 00:00:00";24113;;;;;;;;;
"2014-12-18 00:00:00";30874;;;;;;;;;
"2015-01-01 00:00:00";32580;;;18;;;;;;
"2015-01-15 00:00:00";21636;;;;;;;;;
"2015-01-29 00:00:00";16769;;;76;;;;;;
"2015-02-12 00:00:00";14428;;;;;;;;;
"2015-02-26 00:00:00";81105;;;22;;;;;;
"2015-03-12 00:00:00";;;;;;;;;;
"2015-03-26 00:00:00";27669;;;14;;;;;;
"2015-04-09 00:00:00";15518;;;8;;;;;;
"2015-04-23 00:00:00";13503;;;11;;;;;;
"2015-05-07 00:00:00";13642;;;27;;;;;;
"2015-05-21 00:00:00";14021;;;13;;;1;;;
"2015-06-04 00:00:00";26727;;;13;;;3;;;
"2015-06-18 00:00:00";33959;;;9;;;5;;;
"2015-07-02 00:00:00";20032;;;13;;;3;;;
"2015-07-16 00:00:00";17838;;;21;;;3;;;
"2015-07-30 00:00:00";14217;;;28;;;;;;
"2015-08-13 00:00:00";63476;;;11;;;1;;;
"2015-08-27 00:00:00";36082;;;8;;;1;;;
"2015-09-10 00:00:00";20753;;;16;;;;;;
"2015-09-24 00:00:00";18954;;;75;;;4;;;
"2015-10-08 00:00:00";36424;;;28;;;13;;;
"2015-10-22 00:00:00";52683;;;12;;;15;;;
"2015-11-05 00:00:00";32836;;;32;;;17;;;
"2015-11-19 00:00:00";21030;;;13;;;9644;;;
"2015-12-03 00:00:00";25570;;;11;;;11185;;;
"2015-12-17 00:00:00";28037;;1;12;;;17999;;;
"2015-12-31 00:00:00";31024;;;14;;;20112;;;
"2016-01-14 00:00:00";32386;;1;9;;;15253;;;
"2016-01-28 00:00:00";21247;;;13;;;16094;;;
"2016-02-11 00:00:00";25809;;;10;;;15735;;;
"2016-02-25 00:00:00";16100;;;9;;;11914;;;
"2016-03-10 00:00:00";30615;;;7;;;8585;;;
"2016-03-24 00:00:00";39369;;;17;;;10552;;;
"2016-04-07 00:00:00";23254;;;15;;;29128;;;
"2016-04-21 00:00:00";16424;;;7;;;11686;;;
"2016-05-05 00:00:00";13513;;;11;;;14522;;;
"2016-05-19 00:00:00";12272;;;6;;;12782;134;;
"2016-06-02 00:00:00";16150;;;22;;;14936;;;
"2016-06-16 00:00:00";43415;;;10;1;;15357;108;;
"2016-06-30 00:00:00";36340;;;11;;;16059;13;;
"2016-07-14 00:00:00";17550;;4;5;1;;12347;43;;
"2016-07-28 00:00:00";14009;;17;6;1;;39536;65;;
"2016-08-11 00:00:00";11966;;212604;15;1;;19129;192;;
"2016-08-25 00:00:00";20901;;17843;7;;;18953;27;;
"2016-09-08 00:00:00";15487;;5761;6;1;;18114;17;;
"2016-09-22 00:00:00";12442;6;2877;16;1;;19372;26;;
"2016-10-06 00:00:00";41370;;1623;12;1;;19493;4;;
"2016-10-20 00:00:00";28614;;1084;5;1;;15659;3;;
"2016-11-03 00:00:00";25677;;747;11;2;;41938;9;;
"2016-11-17 00:00:00";19843;;8066;15;1;;30834;6;;
"2016-12-01 00:00:00";18745;;6501;11;2;;29647;5;;
"2016-12-15 00:00:00";19528;;2517;19;40;;29045;4;;
"2016-12-29 00:00:00";20788;;2233;26;30;1;34504;6;;
"2017-01-12 00:00:00";15304;;1494;16;22;;31686;4;;
"2017-01-26 00:00:00";26808;;1148;13;20;1;65010;4;;
"2017-02-09 00:00:00";18421;;955;8;45944;;54908;4;;
"2017-02-23 00:00:00";14489;;1893;26;29444;1;45103;39;;
"2017-03-09 00:00:00";13091;;7049;18;14274;;46984;27;;
"2017-03-23 00:00:00";21864;;2452;12;8854;2;47655;8;;
"2017-04-06 00:00:00";52899;;1561;10;5946;2;45283;7;;
"2017-04-20 00:00:00";18785;;1267;6;4633;1;43843;6;;
"2017-05-04 00:00:00";15902;;1066;25;7550;3;42961;8;;
"2017-05-18 00:00:00";16306;3;982;13;5786;87;44112;10;;
"2017-06-01 00:00:00";247709;23;933;16;3489;19;43245;8;;
"2017-06-15 00:00:00";168838;31;1791;15;2330;7;39512;8;;
"2017-06-29 00:00:00";106657;36;1722;14;1971;6;40925;5;;
"2017-07-13 00:00:00";68504;47;1379;10;1921;6;47328;337;;
"2017-07-27 00:00:00";63576;34;1167;17;1952;11;46276;512;;
"2017-08-10 00:00:00";57899;34;19132;15;11428;5;52824;297;;
"2017-08-24 00:00:00";60552;11;7805;8;4397;4;73864;559;;
"2017-09-07 00:00:00";50397;28;4222;10;2892;5;70963;495;;
"2017-09-21 00:00:00";57028;26;2718;11;2548;5;62385;221;;
"2017-10-05 00:00:00";56730;20;2252;15;2011;4;60052;18;;
"2017-10-19 00:00:00";97253;33;1666;12;2235;3;55693;8;;
"2017-11-02 00:00:00";58045;11;1815;9;4896;5;53742;57;;
"2017-11-16 00:00:00";53879;39;1983;13;4002;7;99655;19;;
"2017-11-30 00:00:00";57305;37;1544;8;2965;4;100845;50;;
"2017-12-14 00:00:00";52611;44;1701;13;3547;4;95518;448;;
"2017-12-28 00:00:00";55680;25;1964;24;3785;6;109318;90;;
"2018-01-11 00:00:00";51567;43;1662;10;3570;3;107452;52;;
"2018-01-25 00:00:00";53298;35;1520;11;3066;3;99612;6;;
"2018-02-08 00:00:00";51765;29;1422;27;8217;2;125454;5;;
"2018-02-22 00:00:00";52876;41;1224;14;5974;2;176784;71;;
"2018-03-08 00:00:00";59172;40;1056;13;3978;6;178953;348;;
"2018-03-22 00:00:00";41120;32;1122;20;7361;4;144311;265;;
"2018-04-05 00:00:00";30933;;1122;15;4755;4;125070;3;;
"2018-04-19 00:00:00";92323;;1216;26;4499;3;122786;337;;
"2018-05-03 00:00:00";49042;;1383;20;18720;3;115247;3;;
"2018-05-17 00:00:00";42967;;1960;13;9263;3;142308;43;;
"2018-05-31 00:00:00";41314;;1808;13;7900;3;143183;7;;
"2018-06-14 00:00:00";37136;;2066;36;10060;3;110746;3;;
"2018-06-28 00:00:00";39192;;2052;21;8269;4;107758;102;;
"2018-07-12 00:00:00";36644;;54064;13;7302;4;117024;2;;
"2018-07-26 00:00:00";29656;;97723;21;9236;9;104660;2;;
"2018-08-09 00:00:00";24626;;46028;13;193559;11;135451;2;;
"2018-08-23 00:00:00";22494;;21431;3677;225831;3;131179;2;;
"2018-09-06 00:00:00";20117;;11109;5303;22648;6;143730;2;;
"2018-09-20 00:00:00";21307;;8081;2347;16590;13;128742;3;;
"2018-10-04 00:00:00";19723;;6314;607;17266;5;123540;2;;
"2018-10-18 00:00:00";22155;;5504;233;19651;6;123993;8;;
"2018-11-01 00:00:00";25553;;7318;272;14837;4;98551;10;;
"2018-11-15 00:00:00";21457;;8643;222;9691;4;115938;316;;
"2018-11-29 00:00:00";20121;;7339;137;8789;10;121731;32;;
"2018-12-13 00:00:00";22414;;9124;163;11141;214143;116734;31;;
"2018-12-27 00:00:00";15223;;7720;127;9663;80;137631;179;;
"2019-01-10 00:00:00";15365;;5468;218169;8463;116398;127994;18;;
"2019-01-24 00:00:00";14581;;4144;3354;15529;5254;137626;8;;
"2019-02-07 00:00:00";14208;;4628;510;10594;7585;136018;38;;
"2019-02-21 00:00:00";12859;;3256;419;9370;950;119952;194;;
"2019-03-07 00:00:00";12591;;3260;324;8952;1372;135746;6;;
"2019-03-21 00:00:00";13168;;5941;410;8693;982;125685;1;;
"2019-04-04 00:00:00";13904;;4971;850;8637;924;125421;1;;
"2019-04-18 00:00:00";14743;;4081;817;8678;985;113107;3;;
