"DateTime";"Garry's Mod";"DayZ";"Euro Truck Simulator 2";"Warframe";"Tom Clancy's Rainbow Six Siege";"Dead by Daylight";"Hearts of Iron IV";"Warhammer: Vermintide 2";"Destiny 2";"Farming Simulator 22"
"2005-01-13 00:00:00";240;;;;;;;;;
"2005-01-27 00:00:00";550;;;;;;;;;
"2005-02-10 00:00:00";417;;;;;;;;;
"2005-02-24 00:00:00";274;;;;;;;;;
"2005-03-10 00:00:00";206;;;;;;;;;
"2005-03-24 00:00:00";204;;;;;;;;;
"2005-04-07 00:00:00";168;;;;;;;;;
"2005-04-21 00:00:00";134;;;;;;;;;
"2005-05-05 00:00:00";177;;;;;;;;;
"2005-05-19 00:00:00";26;;;;;;;;;
"2005-06-02 00:00:00";;;;;;;;;;
"2005-06-16 00:00:00";;;;;;;;;;
"2005-06-30 00:00:00";;;;;;;;;;
"2005-07-14 00:00:00";;;;;;;;;;
"2005-07-28 00:00:00";;;;;;;;;;
"2005-08-11 00:00:00";639;;;;;;;;;
"2005-08-25 00:00:00";845;;;;;;;;;
"2005-09-08 00:00:00";587;;;;;;;;;
"2005-09-22 00:00:00";170;;;;;;;;;
"2005-10-06 00:00:00";;;;;;;;;;
"2005-10-20 00:00:00";;;;;;;;;;
"2005-11-03 00:00:00";56;;;;;;;;;
"2005-11-17 00:00:00";;;;;;;;;;
"2005-12-01 00:00:00";15;;;;;;;;;
"2005-12-15 00:00:00";12;;;;;;;;;
"2005-12-29 00:00:00";;;;;;;;;;
"2006-01-12 00:00:00";;;;;;;;;;
"2006-01-26 00:00:00";;;;;;;;;;
"2006-02-09 00:00:00";;;;;;;;;;
"2006-02-23 00:00:00";;;;;;;;;;
"2006-03-09 00:00:00";;;;;;;;;;
"2006-03-23 00:00:00";;;;;;;;;;
"2006-04-06 00:00:00";;;;;;;;;;
"2006-04-20 00:00:00";;;;;;;;;;
"2006-05-04 00:00:00";;;;;;;;;;
"2006-05-18 00:00:00";;;;;;;;;;
"2006-06-01 00:00:00";;;;;;;;;;
"2006-06-15 00:00:00";;;;;;;;;;
"2006-06-29 00:00:00";;;;;;;;;;
"2006-07-13 00:00:00";;;;;;;;;;
"2006-07-27 00:00:00";;;;;;;;;;
"2006-08-10 00:00:00";;;;;;;;;;
"2006-08-24 00:00:00";;;;;;;;;;
"2006-09-07 00:00:00";;;;;;;;;;
"2006-09-21 00:00:00";;;;;;;;;;
"2006-10-05 00:00:00";;;;;;;;;;
"2006-10-19 00:00:00";;;;;;;;;;
"2006-11-02 00:00:00";;;;;;;;;;
"2006-11-16 00:00:00";;;;;;;;;;
"2006-11-30 00:00:00";796;;;;;;;;;
"2006-12-14 00:00:00";807;;;;;;;;;
"2006-12-28 00:00:00";276;;;;;;;;;
"2007-01-11 00:00:00";1046;;;;;;;;;
"2007-01-25 00:00:00";928;;;;;;;;;
"2007-02-08 00:00:00";1277;;;;;;;;;
"2007-02-22 00:00:00";320;;;;;;;;;
"2007-03-08 00:00:00";672;;;;;;;;;
"2007-03-22 00:00:00";902;;;;;;;;;
"2007-04-05 00:00:00";;;;;;;;;;
"2007-04-19 00:00:00";1313;;;;;;;;;
"2007-05-03 00:00:00";;;;;;;;;;
"2007-05-17 00:00:00";977;;;;;;;;;
"2007-05-31 00:00:00";1784;;;;;;;;;
"2007-06-14 00:00:00";759;;;;;;;;;
"2007-06-28 00:00:00";1833;;;;;;;;;
"2007-07-12 00:00:00";;;;;;;;;;
"2007-07-26 00:00:00";944;;;;;;;;;
"2007-08-09 00:00:00";2116;;;;;;;;;
"2007-08-23 00:00:00";2419;;;;;;;;;
"2007-09-06 00:00:00";1837;;;;;;;;;
"2007-09-20 00:00:00";2199;;;;;;;;;
"2007-10-04 00:00:00";1552;;;;;;;;;
"2007-10-18 00:00:00";2370;;;;;;;;;
"2007-11-01 00:00:00";;;;;;;;;;
"2007-11-15 00:00:00";;;;;;;;;;
