"DateTime";"Team Fortress 2";"Dota 2";"Counter-Strike: Global Offensive";"Rust";"Grand Theft Auto V";"PUBG: BATTLEGROUNDS";"New World";"Apex Legends";"Lost Ark";"Call of Duty®: Modern Warfare® II | Warzone™ 2.0"
"2007-09-06 00:00:00";9553;;;;;;;;;
"2007-09-20 00:00:00";8137;;;;;;;;;
"2007-10-04 00:00:00";8423;;;;;;;;;
"2007-10-18 00:00:00";18842;;;;;;;;;
"2007-11-01 00:00:00";;;;;;;;;;
"2007-11-15 00:00:00";;;;;;;;;;
"2007-11-29 00:00:00";9550;;;;;;;;;
"2007-12-13 00:00:00";9854;;;;;;;;;
"2007-12-27 00:00:00";14600;;;;;;;;;
"2008-01-10 00:00:00";11775;;;;;;;;;
"2008-01-24 00:00:00";10653;;;;;;;;;
"2008-02-07 00:00:00";;;;;;;;;;
"2008-02-21 00:00:00";;;;;;;;;;
"2008-03-06 00:00:00";;;;;;;;;;
"2008-03-20 00:00:00";;;;;;;;;;
"2008-04-03 00:00:00";;;;;;;;;;
"2008-04-17 00:00:00";;;;;;;;;;
"2008-05-01 00:00:00";;;;;;;;;;
"2008-05-15 00:00:00";;;;;;;;;;
"2008-05-29 00:00:00";;;;;;;;;;
"2008-06-12 00:00:00";;;;;;;;;;
"2008-06-26 00:00:00";;;;;;;;;;
"2008-07-10 00:00:00";;;;;;;;;;
"2008-07-24 00:00:00";;;;;;;;;;
"2008-08-07 00:00:00";;;;;;;;;;
"2008-08-21 00:00:00";;;;;;;;;;
"2008-09-04 00:00:00";19086;;;;;;;;;
"2008-09-18 00:00:00";13161;;;;;;;;;
"2008-10-02 00:00:00";12559;;;;;;;;;
"2008-10-16 00:00:00";14222;;;;;;;;;
"2008-10-30 00:00:00";6853;;;;;;;;;
"2008-11-13 00:00:00";3475;;;;;;;;;
"2008-11-27 00:00:00";10942;;;;;;;;;
"2008-12-11 00:00:00";11333;;;;;;;;;
"2008-12-25 00:00:00";;;;;;;;;;
"2009-01-08 00:00:00";5492;;;;;;;;;
"2009-01-22 00:00:00";12613;;;;;;;;;
"2009-02-05 00:00:00";13745;;;;;;;;;
"2009-02-19 00:00:00";24366;;;;;;;;;
"2009-03-05 00:00:00";15770;;;;;;;;;
"2009-03-19 00:00:00";14201;;;;;;;;;
"2009-04-02 00:00:00";11163;;;;;;;;;
"2009-04-16 00:00:00";11550;;;;;;;;;
"2009-04-30 00:00:00";10805;;;;;;;;;
"2009-05-14 00:00:00";44697;;;;;;;;;
"2009-05-28 00:00:00";39286;;;;;;;;;
"2009-06-11 00:00:00";26350;;;;;;;;;
"2009-06-25 00:00:00";18842;;;;;;;;;
"2009-07-09 00:00:00";18539;;;;;;;;;
"2009-07-23 00:00:00";17491;;;;;;;;;
"2009-08-06 00:00:00";24224;;;;;;;;;
"2009-08-20 00:00:00";32075;;;;;;;;;
"2009-09-03 00:00:00";24666;;;;;;;;;
"2009-09-17 00:00:00";12666;;;;;;;;;
"2009-10-01 00:00:00";16858;;;;;;;;;
"2009-10-15 00:00:00";15715;;;;;;;;;
"2009-10-29 00:00:00";8997;;;;;;;;;
"2009-11-12 00:00:00";10833;;;;;;;;;
"2009-11-26 00:00:00";14237;;;;;;;;;
"2009-12-10 00:00:00";22376;;;;;;;;;
"2009-12-24 00:00:00";18176;;;;;;;;;
"2010-01-07 00:00:00";18367;;;;;;;;;
"2010-01-21 00:00:00";18487;;;;;;;;;
"2010-02-04 00:00:00";14282;;;;;;;;;
"2010-02-18 00:00:00";15372;;;;;;;;;
"2010-03-04 00:00:00";13669;;;;;;;;;
"2010-03-18 00:00:00";23759;;;;;;;;;
"2010-04-01 00:00:00";22349;;;;;;;;;
"2010-04-15 00:00:00";23609;;;;;;;;;
"2010-04-29 00:00:00";19348;;;;;;;;;
"2010-05-13 00:00:00";21056;;;;;;;;;
"2010-05-27 00:00:00";20066;;;;;;;;;
"2010-06-10 00:00:00";33039;;;;;;;;;
"2010-06-24 00:00:00";35313;;;;;;;;;
"2010-07-08 00:00:00";44852;;;;;;;;;
"2010-07-22 00:00:00";24912;;;;;;;;;
"2010-08-05 00:00:00";20653;;;;;;;;;
"2010-08-19 00:00:00";21583;;;;;;;;;
"2010-09-02 00:00:00";20995;;;;;;;;;
"2010-09-16 00:00:00";20198;;;;;;;;;
"2010-09-30 00:00:00";39657;;;;;;;;;
"2010-10-14 00:00:00";32234;;;;;;;;;
"2010-10-28 00:00:00";32620;;;;;;;;;
"2010-11-11 00:00:00";23691;;;;;;;;;
"2010-11-25 00:00:00";21706;;;;;;;;;
"2010-12-09 00:00:00";34334;;;;;;;;;
"2010-12-23 00:00:00";34334;;;;;;;;;
"2011-01-06 00:00:00";25938;;;;;;;;;
"2011-01-20 00:00:00";23767;;;;;;;;;
"2011-02-03 00:00:00";22792;;;;;;;;;
"2011-02-17 00:00:00";22015;;;;;;;;;
"2011-03-03 00:00:00";22065;;;;;;;;;
"2011-03-17 00:00:00";22283;;;;;;;;;
"2011-03-31 00:00:00";21418;;;;;;;;;
"2011-04-14 00:00:00";19692;;;;;;;;;
"2011-04-28 00:00:00";22418;;;;;;;;;
"2011-05-12 00:00:00";21676;;;;;;;;;
"2011-05-26 00:00:00";26952;;;;;;;;;
"2011-06-09 00:00:00";27825;;;;;;;;;
"2011-06-23 00:00:00";101789;;;;;;;;;
"2011-07-07 00:00:00";72199;;;;;;;;;
"2011-07-21 00:00:00";71421;;;;;;;;;
"2011-08-04 00:00:00";68902;;;;;;;;;
"2011-08-18 00:00:00";70959;;;;;;;;;
"2011-09-01 00:00:00";69643;;;;;;;;;
"2011-09-15 00:00:00";66974;312;;;;;;;;
"2011-09-29 00:00:00";63724;530;;;;;;;;
"2011-10-13 00:00:00";68908;587;;;;;;;;
"2011-10-27 00:00:00";71082;2190;;;;;;;;
"2011-11-10 00:00:00";48350;8324;;;;;;;;
"2011-11-24 00:00:00";45241;18026;680;;;;;;;
"2011-12-08 00:00:00";56231;20156;;;;;;;;
"2011-12-22 00:00:00";54151;17976;;;;;;;;
"2012-01-05 00:00:00";55859;21221;;;;;;;;
"2012-01-19 00:00:00";59094;23539;;;;;;;;
"2012-02-02 00:00:00";61011;24765;;;;;;;;
"2012-02-16 00:00:00";59996;26129;204;;;;;;;
"2012-03-01 00:00:00";60168;30095;460;;;;;;;
"2012-03-15 00:00:00";61563;38596;1081;;;;;;;
"2012-03-29 00:00:00";62128;40661;1263;;;;;;;
"2012-04-12 00:00:00";66640;53426;1899;;;;;;;
"2012-04-26 00:00:00";62531;53039;1058;;;;;;;
"2012-05-10 00:00:00";59498;51321;2097;;;;;;;
"2012-05-24 00:00:00";57598;57901;2919;;;;;;;
"2012-06-07 00:00:00";62107;57093;1549;;;;;;;
"2012-06-21 00:00:00";92867;75041;2167;;;;;;;
"2012-07-05 00:00:00";73498;71015;1972;;;;;;;
"2012-07-19 00:00:00";117917;108689;52261;;;;;;;
"2012-08-02 00:00:00";120436;76025;32396;;;;;;;
"2012-08-16 00:00:00";114686;108472;52596;;;;;;;
"2012-08-30 00:00:00";90232;118901;36870;;;;;;;
"2012-09-13 00:00:00";87168;97784;28447;;;;;;;
"2012-09-27 00:00:00";106853;171860;21247;;;;;;;
"2012-10-11 00:00:00";77429;134845;20850;;;;;;;
"2012-10-25 00:00:00";106861;171931;50533;;;;;;;
"2012-11-08 00:00:00";71233;164331;22968;;;;;;;
"2012-11-22 00:00:00";73695;213521;27553;;;;;;;
"2012-12-06 00:00:00";67343;215557;25803;;;;;;;
"2012-12-20 00:00:00";74300;260989;31359;;;;;;;
"2013-01-03 00:00:00";74968;234693;31343;;;;;;;
"2013-01-17 00:00:00";74230;261921;29566;;;;;;;
"2013-01-31 00:00:00";73221;283870;35597;;;;;;;
"2013-02-14 00:00:00";71313;284234;33189;;;;;;;
"2013-02-28 00:00:00";73902;325897;32166;;;;;;;
"2013-03-14 00:00:00";73340;311078;32414;;;;;;;
"2013-03-28 00:00:00";71846;301486;32163;;;;;;;
"2013-04-11 00:00:00";72437;297510;31604;;;;;;;
"2013-04-25 00:00:00";75126;325815;53379;;;;;;;
"2013-05-09 00:00:00";75054;329977;53381;;;;;;;
"2013-05-23 00:00:00";77349;326160;35724;;;;;;;
"2013-06-06 00:00:00";71253;326835;33951;;;;;;;
"2013-06-20 00:00:00";78100;422617;42149;;;;;;;
"2013-07-04 00:00:00";70783;347619;34917;;;;;;;
"2013-07-18 00:00:00";66045;432837;42411;;;;;;;
"2013-08-01 00:00:00";74504;520532;50511;;;;;;;
"2013-08-15 00:00:00";75945;490451;51627;;;;;;;
"2013-08-29 00:00:00";78767;566715;52052;;;;;;;
"2013-09-12 00:00:00";80551;541350;51215;;;;;;;
"2013-09-26 00:00:00";79903;581615;53263;;;;;;;
"2013-10-10 00:00:00";80264;581794;53263;;;;;;;
"2013-10-24 00:00:00";88530;702792;92279;;;;;;;
"2013-11-07 00:00:00";77634;707938;54097;;;;;;;
"2013-11-21 00:00:00";86393;685503;96298;22571;;;;;;
"2013-12-05 00:00:00";73498;693538;80321;12843;;;;;;
"2013-12-19 00:00:00";88315;673496;102084;51872;;;;;;
"2014-01-02 00:00:00";80607;645254;102464;34910;;;;;;
"2014-01-16 00:00:00";84061;675958;102090;52291;;;;;;
"2014-01-30 00:00:00";84002;740345;119764;59118;;;;;;
"2014-02-13 00:00:00";84020;710808;119772;57593;;;;;;
"2014-02-27 00:00:00";83000;698197;164495;48979;;;;;;
"2014-03-13 00:00:00";83130;695945;164781;38644;;;;;;
"2014-03-27 00:00:00";83410;734998;142526;33829;;;;;;
"2014-04-10 00:00:00";79825;737526;143298;29427;;;;;;
"2014-04-24 00:00:00";80053;843024;173629;25455;;;;;;
"2014-05-08 00:00:00";80597;845664;160519;22869;;;;;;
"2014-05-22 00:00:00";90242;837414;164134;18584;;;;;;
"2014-06-05 00:00:00";86765;832085;147677;18109;;;;;;
"2014-06-19 00:00:00";89077;874975;194016;16553;;;;;;
"2014-07-03 00:00:00";76346;891058;173510;15232;;;;;;
"2014-07-17 00:00:00";75856;861604;171261;13355;;;;;;
"2014-07-31 00:00:00";83414;774319;277192;12862;;;;;;
"2014-08-14 00:00:00";83986;776400;275014;12519;;;;;;
"2014-08-28 00:00:00";93749;864261;242494;11726;;;;;;
"2014-09-11 00:00:00";91683;837163;240450;11146;;;;;;
"2014-09-25 00:00:00";101741;880655;260613;12370;;;;;;
"2014-10-09 00:00:00";93240;885661;249290;12105;;;;;;
"2014-10-23 00:00:00";104799;963810;348018;12192;;;;;;
"2014-11-06 00:00:00";94856;898676;270707;10681;;;;;;
"2014-11-20 00:00:00";97449;936583;367634;11826;;;;;;
"2014-12-04 00:00:00";87748;876239;317354;9486;;;;;;
"2014-12-18 00:00:00";98054;872886;369561;11924;;;;;;
"2015-01-01 00:00:00";94941;961737;443991;22303;;;;;;
"2015-01-15 00:00:00";94152;918844;442871;22383;;;;;;
"2015-01-29 00:00:00";90599;1262612;455508;20382;;;;;;
"2015-02-12 00:00:00";88462;1263992;454373;15842;;;;;;
"2015-02-26 00:00:00";89571;1213940;595439;16341;;;;;;
"2015-03-12 00:00:00";85947;957147;;;;;;;;
"2015-03-26 00:00:00";84438;929965;568556;16636;360761;;;;;
"2015-04-09 00:00:00";84537;903257;551054;12784;364544;;;;;
"2015-04-23 00:00:00";84042;950822;579356;25379;284787;;;;;
"2015-05-07 00:00:00";84603;970403;571119;25697;178439;;;;;
"2015-05-21 00:00:00";83029;967041;681170;21600;123107;;;;;
"2015-06-04 00:00:00";78150;915726;604309;27245;85285;;;;;
"2015-06-18 00:00:00";78971;884235;611284;20989;68598;;;;;
"2015-07-02 00:00:00";83241;858730;546142;21293;61067;;;;;
"2015-07-16 00:00:00";77197;857715;523216;22699;55406;;;;;
"2015-07-30 00:00:00";76135;933942;516646;25432;50764;;;;;
"2015-08-13 00:00:00";82177;914821;819902;23630;46615;;;;;
"2015-08-27 00:00:00";89393;929404;653346;23856;44628;;;;;
"2015-09-10 00:00:00";90472;887735;725939;24075;47429;;;;;
"2015-09-24 00:00:00";90786;869752;709984;24220;45682;;;;;
"2015-10-08 00:00:00";86461;891315;693601;24203;57907;;;;;
"2015-10-22 00:00:00";91981;920726;786707;22645;76970;;;;;
"2015-11-05 00:00:00";90647;936435;688392;26707;73221;;;;;
"2015-11-19 00:00:00";81821;943635;691930;22746;56646;;;;;
"2015-12-03 00:00:00";78258;965737;823694;29232;70249;;;;;
"2015-12-17 00:00:00";82824;999452;641488;38232;84853;;;;;
"2015-12-31 00:00:00";78234;1016123;667432;50635;93713;;;;;
"2016-01-14 00:00:00";80171;1022688;665504;44240;68437;;;;;
"2016-01-28 00:00:00";80654;1127317;651217;61326;67514;;;;;
"2016-02-11 00:00:00";82605;1201420;738969;58357;73019;;;;;
"2016-02-25 00:00:00";83544;1291328;733925;55137;65647;;;;;
"2016-03-10 00:00:00";82298;1192793;701629;44965;60957;;;;;
"2016-03-24 00:00:00";80690;1028892;850485;41760;65831;;;;;
"2016-04-07 00:00:00";81206;1164041;731390;49983;61806;;;;;
"2016-04-21 00:00:00";77972;1092606;684356;45838;55214;;;;;
"2016-05-05 00:00:00";77824;1075307;638088;47278;46874;;;;;
"2016-05-19 00:00:00";73581;1073994;606267;45740;44638;;;;;
"2016-06-02 00:00:00";72453;1036733;574583;45792;78286;;;;;
"2016-06-16 00:00:00";68683;1095994;579110;39456;60539;;;;;
"2016-06-30 00:00:00";73553;1084198;636056;64719;71859;;;;;
"2016-07-14 00:00:00";70298;972512;540624;49338;64464;;;;;
"2016-07-28 00:00:00";69157;1050910;533460;48550;60901;;;;;
"2016-08-11 00:00:00";68090;1117519;584453;50504;63746;;;;;
"2016-08-25 00:00:00";73838;1069334;599095;50800;61492;;;;;
"2016-09-08 00:00:00";74797;1047489;638360;45534;55988;;;;;
"2016-09-22 00:00:00";68825;1048369;613097;40927;67954;;;;;
"2016-10-06 00:00:00";63835;1141191;661985;48517;78643;;;;;
"2016-10-20 00:00:00";81150;1082337;647299;41657;86008;;;;;
"2016-11-03 00:00:00";77056;1007270;627124;47598;83047;;;;;
"2016-11-17 00:00:00";68766;987571;625876;39958;86608;;;;;
"2016-12-01 00:00:00";70273;1014671;662460;49190;88458;;;;;
"2016-12-15 00:00:00";70858;969426;593696;47225;126819;;;;;
"2016-12-29 00:00:00";73641;951912;673607;63668;117387;;;;;
"2017-01-12 00:00:00";77405;924825;789088;63810;101782;;;;;
"2017-01-26 00:00:00";77381;1040877;814616;68202;84418;1;;;;
"2017-02-09 00:00:00";76439;944609;744468;61934;101176;;;;;
"2017-02-23 00:00:00";73950;938859;715449;66110;102076;3;;;;
"2017-03-09 00:00:00";74656;945789;742356;57120;86835;1;;;;
"2017-03-23 00:00:00";72042;881402;718526;49695;97354;86648;;;;
"2017-04-06 00:00:00";72140;921318;678017;53923;91070;103672;;;;
"2017-04-20 00:00:00";72587;884941;695235;47160;89658;143302;;;;
"2017-05-04 00:00:00";73188;979135;661043;46993;84002;174516;;;;
"2017-05-18 00:00:00";71452;933878;697189;45322;80658;191573;;;;
"2017-06-01 00:00:00";69895;928430;614621;48286;132106;218071;;;;
"2017-06-15 00:00:00";66354;906754;569006;43320;115303;257712;;;;
"2017-06-29 00:00:00";66942;841974;573327;53425;112074;340604;;;;
"2017-07-13 00:00:00";66951;815283;640277;42716;89811;422618;;;;
