"DateTime";"The Elder Scrolls V: Skyrim";"KHOLAT";"ARK: Survival Evolved";"Kathy Rain";"Dying Light 2";"Monster Hunter: World";"HITMAN™ 2";"Destiny 2";"Yu-Gi-Oh!  Master Duel";"Call of Duty®: Modern Warfare® II | Warzone™ 2.0"
"2011-10-27 00:00:00";6901;;;;;;;;;
"2011-11-10 00:00:00";287411;;;;;;;;;
"2011-11-24 00:00:00";170546;;;;;;;;;
"2011-12-08 00:00:00";134795;;;;;;;;;
"2011-12-22 00:00:00";122366;;;;;;;;;
"2012-01-05 00:00:00";111504;;;;;;;;;
"2012-01-19 00:00:00";86806;;;;;;;;;
"2012-02-02 00:00:00";88279;;;;;;;;;
"2012-02-16 00:00:00";75744;;;;;;;;;
"2012-03-01 00:00:00";64119;;;;;;;;;
"2012-03-15 00:00:00";52976;;;;;;;;;
"2012-03-29 00:00:00";49406;;;;;;;;;
"2012-04-12 00:00:00";48472;;;;;;;;;
"2012-04-26 00:00:00";46170;;;;;;;;;
"2012-05-10 00:00:00";44815;;;;;;;;;
"2012-05-24 00:00:00";39177;;;;;;;;;
"2012-06-07 00:00:00";36841;;;;;;;;;
"2012-06-21 00:00:00";39658;;;;;;;;;
"2012-07-05 00:00:00";43634;;;;;;;;;
"2012-07-19 00:00:00";55230;;;;;;;;;
"2012-08-02 00:00:00";62733;;;;;;;;;
"2012-08-16 00:00:00";45467;;;;;;;;;
"2012-08-30 00:00:00";38948;;;;;;;;;
"2012-09-13 00:00:00";36967;;;;;;;;;
"2012-09-27 00:00:00";42125;;;;;;;;;
"2012-10-11 00:00:00";37768;;;;;;;;;
"2012-10-25 00:00:00";46165;;;;;;;;;
"2012-11-08 00:00:00";41555;;;;;;;;;
"2012-11-22 00:00:00";52804;;;;;;;;;
"2012-12-06 00:00:00";42054;;;;;;;;;
"2012-12-20 00:00:00";54674;;;;;;;;;
"2013-01-03 00:00:00";52739;;;;;;;;;
"2013-01-17 00:00:00";54146;;;;;;;;;
"2013-01-31 00:00:00";68220;;;;;;;;;
"2013-02-14 00:00:00";58619;;;;;;;;;
"2013-02-28 00:00:00";48490;;;;;;;;;
"2013-03-14 00:00:00";44756;;;;;;;;;
"2013-03-28 00:00:00";40771;;;;;;;;;
"2013-04-11 00:00:00";39459;;;;;;;;;
"2013-04-25 00:00:00";39037;;;;;;;;;
"2013-05-09 00:00:00";37530;;;;;;;;;
"2013-05-23 00:00:00";38785;;;;;;;;;
"2013-06-06 00:00:00";38875;;;;;;;;;
"2013-06-20 00:00:00";47426;;;;;;;;;
"2013-07-04 00:00:00";41445;;;;;;;;;
"2013-07-18 00:00:00";47414;;;;;;;;;
"2013-08-01 00:00:00";53655;;;;;;;;;
"2013-08-15 00:00:00";45472;;;;;;;;;
"2013-08-29 00:00:00";45287;;;;;;;;;
"2013-09-12 00:00:00";44428;;;;;;;;;
"2013-09-26 00:00:00";41163;;;;;;;;;
"2013-10-10 00:00:00";40669;;;;;;;;;
"2013-10-24 00:00:00";66295;;;;;;;;;
"2013-11-07 00:00:00";42768;;;;;;;;;
"2013-11-21 00:00:00";76034;;;;;;;;;
"2013-12-05 00:00:00";62041;;;;;;;;;
"2013-12-19 00:00:00";78420;;;;;;;;;
"2014-01-02 00:00:00";78571;;;;;;;;;
"2014-01-16 00:00:00";66105;;;;;;;;;
"2014-01-30 00:00:00";61735;;;;;;;;;
"2014-02-13 00:00:00";57341;;;;;;;;;
"2014-02-27 00:00:00";47709;;;;;;;;;
"2014-03-13 00:00:00";45658;;;;;;;;;
"2014-03-27 00:00:00";44749;;;;;;;;;
"2014-04-10 00:00:00";42115;;;;;;;;;
"2014-04-24 00:00:00";44646;;;;;;;;;
"2014-05-08 00:00:00";42035;;;;;;;;;
"2014-05-22 00:00:00";64627;;;;;;;;;
"2014-06-05 00:00:00";37905;;;;;;;;;
"2014-06-19 00:00:00";64435;;;;;;;;;
"2014-07-03 00:00:00";60217;;;;;;;;;
"2014-07-17 00:00:00";53571;;;;;;;;;
"2014-07-31 00:00:00";49792;;;;;;;;;
"2014-08-14 00:00:00";48035;;;;;;;;;
"2014-08-28 00:00:00";69218;;;;;;;;;
"2014-09-11 00:00:00";69218;;;;;;;;;
"2014-09-25 00:00:00";52152;;;;;;;;;
"2014-10-09 00:00:00";47620;;;;;;;;;
"2014-10-23 00:00:00";47190;;;;;;;;;
"2014-11-06 00:00:00";47108;;;;;;;;;
"2014-11-20 00:00:00";61315;;;;;;;;;
"2014-12-04 00:00:00";50394;;;;;;;;;
"2014-12-18 00:00:00";65475;;;;;;;;;
"2015-01-01 00:00:00";69583;;;;;;;;;
"2015-01-15 00:00:00";57831;;;;;;;;;
"2015-01-29 00:00:00";56903;;;;;;;;;
"2015-02-12 00:00:00";53179;;;;;;;;;
"2015-02-26 00:00:00";51015;;;;;;;;;
"2015-03-12 00:00:00";;;;;;;;;;
"2015-03-26 00:00:00";90780;;;;;;;;;
"2015-04-09 00:00:00";41640;;;;;;;;;
"2015-04-23 00:00:00";90869;2;28;;;;;;;
"2015-05-07 00:00:00";52827;;15;;;;;;;
"2015-05-21 00:00:00";47200;10;30908;;;;;;;
"2015-06-04 00:00:00";43224;150;80398;;;;;;;
"2015-06-18 00:00:00";47771;67;76818;;;;;;;
"2015-07-02 00:00:00";41103;36;75177;;;;;;;
"2015-07-16 00:00:00";44516;26;71248;;;;;;;
"2015-07-30 00:00:00";40001;26;68958;;;;;;;
"2015-08-13 00:00:00";40045;39;67929;;;;;;;
"2015-08-27 00:00:00";39905;21;84801;;;;;;;
"2015-09-10 00:00:00";39742;19;58696;;;;;;;
"2015-09-24 00:00:00";39705;23;60284;;;;;;;
"2015-10-08 00:00:00";43533;27;64903;;;;;;;
"2015-10-22 00:00:00";42814;66;61079;;;;;;;
"2015-11-05 00:00:00";42518;29;59432;;;;;;;
"2015-11-19 00:00:00";49746;31;52473;1;;;;;;
"2015-12-03 00:00:00";49454;23;52613;;;;;;;
"2015-12-17 00:00:00";53967;33;55929;;;;;;;
"2015-12-31 00:00:00";60629;56;66986;3;;;;;;
"2016-01-14 00:00:00";50179;27;65914;;;;;;;
"2016-01-28 00:00:00";47811;54;62888;2;;;;;;
"2016-02-11 00:00:00";49029;40;63322;;;;;;;
"2016-02-25 00:00:00";44333;24;65648;1;;;;;;
"2016-03-10 00:00:00";42816;16;63207;;;;;;;
"2016-03-24 00:00:00";40397;20;64202;5;;;;;;
"2016-04-07 00:00:00";41693;17;62385;;;;;;;
"2016-04-21 00:00:00";41493;13;62217;59;;;;;;
"2016-05-05 00:00:00";40764;16;58905;25;;;;;;
"2016-05-19 00:00:00";39302;17;78239;34;;;;;;
"2016-06-02 00:00:00";40527;63;70070;22;;;;;;
"2016-06-16 00:00:00";44977;26;71437;27;;;;;;
"2016-06-30 00:00:00";49171;25;69680;31;;;;;;
"2016-07-14 00:00:00";41615;16;53365;14;;;;;;
"2016-07-28 00:00:00";41074;357;67951;10;;;;;;
"2016-08-11 00:00:00";44888;248;51741;7;;;;;;
"2016-08-25 00:00:00";42679;88;64817;7;;;;;;
