Hearts of Iron IV,isPartial
53,False
36,False
31,False
61,False
52,False
35,False
39,False
100,False
89,False
57,False
57,False
49,False
45,False
38,False
40,False
50,False
47,False
45,False
47,False
36,False
42,False
81,False
55,False
21,False
59,False
63,False
55,False
37,False
46,False
27,False
35,False
48,False
37,False
42,False
34,False
34,False
43,False
16,False
38,False
22,False
37,False
56,False
41,False
45,False
46,False
43,False
52,False
52,False
26,False
49,False
55,False
60,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
0,False
