No Man's Sky,isPartial
11,False
9,False
9,False
8,False
9,False
8,False
8,False
7,False
7,False
9,False
9,False
13,False
14,False
11,False
11,False
11,False
11,False
9,False
11,False
14,False
16,False
15,False
13,False
13,False
13,False
16,False
16,False
15,False
13,False
16,False
26,False
100,False
87,False
55,False
33,False
21,False
15,False
14,False
12,False
12,False
13,False
9,False
9,False
8,False
7,False
7,False
14,False
16,False
12,False
13,False
14,False
15,False
15,False
16,False
14,False
15,False
12,False
12,False
23,False
27,False
19,False
14,False
13,False
14,False
15,False
40,False
36,False
24,False
19,False
17,False
14,False
14,False
19,False
19,False
33,False
40,False
31,False
29,False
24,False
34,False
37,False
29,False
22,False
19,False
16,False
16,False
14,False
14,False
15,False
48,False
52,False
33,False
22,False
16,False
18,False
17,False
17,False
18,False
18,False
19,False
15,False
19,False
18,False
25,False
