For Honor,isPartial
45,False
45,False
50,False
70,False
100,False
88,False
66,False
62,False
54,False
53,False
49,False
51,False
47,False
49,False
47,False
51,False
55,False
52,False
43,False
41,False
38,False
40,False
39,False
36,False
35,False
34,False
33,False
34,False
43,False
46,False
53,False
47,False
48,False
44,False
36,False
35,False
34,False
34,False
32,False
33,False
32,False
31,False
34,False
40,False
35,False
31,False
31,False
29,False
29,False
31,False
29,False
29,False
29,False
32,False
31,False
33,False
39,False
37,False
35,False
35,False
33,False
36,False
35,False
32,False
32,False
35,False
35,False
35,False
36,False
36,False
35,False
36,False
36,False
35,False
43,False
36,False
37,False
35,False
34,False
33,False
50,False
51,False
53,False
43,False
36,False
36,False
33,False
35,False
32,False
34,False
28,False
30,False
27,False
29,False
27,False
24,False
27,False
26,False
23,False
29,False
32,False
32,False
28,False
31,False
