Warhammer: Vermintide 2,isPartial
49,False
46,False
41,False
51,False
69,False
49,False
40,False
39,False
72,False
67,False
40,False
42,False
28,False
26,False
24,False
33,False
33,False
31,False
29,False
32,False
38,False
48,False
46,False
31,False
38,False
48,False
35,False
18,False
25,False
21,False
65,False
100,False
53,False
39,False
25,False
14,False
23,False
14,False
16,False
11,False
19,False
18,False
19,False
23,False
20,False
35,False
56,False
33,False
25,False
28,False
46,False
41,False
21,False
25,False
37,False
37,False
27,False
24,False
33,False
26,False
20,False
18,False
37,False
50,False
48,False
49,False
49,False
44,False
35,False
31,False
19,False
46,False
54,False
45,False
15,False
28,False
36,False
47,False
38,False
28,False
59,False
45,False
26,False
26,False
26,False
22,False
36,False
33,False
25,False
55,False
74,False
45,False
34,False
37,False
64,False
69,False
47,False
39,False
44,False
48,False
32,False
30,False
41,False
76,False
