PAYDAY 2,isPartial
39,False
38,False
40,False
39,False
35,False
35,False
35,False
35,False
33,False
33,False
33,False
33,False
34,False
34,False
41,False
37,False
40,False
40,False
47,False
50,False
50,False
47,False
48,False
46,False
56,False
77,False
73,False
56,False
52,False
51,False
47,False
48,False
47,False
45,False
40,False
32,False
34,False
33,False
34,False
34,False
33,False
34,False
44,False
51,False
59,False
50,False
45,False
45,False
45,False
47,False
70,False
72,False
47,False
49,False
50,False
49,False
45,False
44,False
47,False
53,False
52,False
49,False
63,False
60,False
58,False
60,False
61,False
56,False
74,False
81,False
83,False
77,False
59,False
53,False
49,False
46,False
52,False
84,False
100,False
91,False
78,False
77,False
70,False
72,False
72,False
67,False
69,False
63,False
56,False
51,False
49,False
47,False
52,False
44,False
49,False
44,False
57,False
59,False
54,False
51,False
48,False
47,False
69,False
92,False
