Fallout 4,isPartial
83,False
76,False
72,False
75,False
70,False
69,False
69,False
62,False
60,False
66,False
70,False
70,False
60,False
62,False
61,False
59,False
59,False
63,False
65,False
66,False
74,False
73,False
81,False
85,False
81,False
79,False
77,False
71,False
76,False
87,False
80,False
76,False
76,False
74,False
72,False
67,False
63,False
60,False
59,False
59,False
67,False
69,False
71,False
66,False
67,False
68,False
72,False
73,False
66,False
70,False
80,False
83,False
70,False
67,False
69,False
64,False
68,False
66,False
75,False
69,False
62,False
68,False
87,False
96,False
95,False
99,False
99,False
96,False
100,False
86,False
84,False
79,False
77,False
71,False
70,False
67,False
67,False
76,False
78,False
74,False
71,False
69,False
69,False
73,False
70,False
69,False
58,False
61,False
59,False
62,False
61,False
57,False
55,False
66,False
68,False
61,False
65,False
66,False
66,False
58,False
60,False
60,False
66,False
78,False
