The Elder Scrolls V: Skyrim,isPartial
62,False
58,False
58,False
56,False
77,False
69,False
62,False
69,False
54,False
68,False
68,False
77,False
75,False
59,False
61,False
55,False
54,False
57,False
32,False
74,False
52,False
69,False
70,False
70,False
71,False
56,False
51,False
58,False
59,False
73,False
52,False
60,False
57,False
50,False
39,False
51,False
50,False
53,False
45,False
42,False
61,False
48,False
60,False
68,False
54,False
43,False
76,False
60,False
50,False
61,False
88,False
84,False
67,False
54,False
75,False
65,False
96,False
66,False
58,False
50,False
58,False
51,False
71,False
86,False
93,False
68,False
76,False
81,False
83,False
81,False
61,False
61,False
70,False
60,False
64,False
70,False
72,False
51,False
57,False
43,False
52,False
63,False
77,False
71,False
64,False
59,False
51,False
36,False
40,False
51,False
65,False
47,False
41,False
58,False
47,False
47,False
51,False
43,False
65,False
57,False
53,False
57,False
83,False
100,False
