Counter-Strike: Global Offensive,isPartial
70,False
80,False
50,False
27,False
45,False
61,False
61,False
49,False
31,False
73,False
55,False
28,False
43,False
34,False
23,False
22,False
31,False
23,False
29,False
39,False
19,False
45,False
57,False
43,False
40,False
62,False
55,False
46,False
33,False
28,False
13,False
42,False
39,False
60,False
31,False
17,False
43,False
44,False
37,False
37,False
36,False
30,False
28,False
44,False
23,False
26,False
27,False
53,False
28,False
28,False
46,False
30,False
49,False
29,False
38,False
24,False
49,False
52,False
41,False
35,False
30,False
58,False
60,False
74,False
54,False
100,False
53,False
68,False
57,False
40,False
58,False
49,False
38,False
46,False
45,False
34,False
24,False
10,False
66,False
30,False
48,False
25,False
58,False
65,False
30,False
43,False
29,False
48,False
28,False
35,False
41,False
18,False
26,False
36,False
25,False
33,False
30,False
36,False
33,False
37,False
29,False
37,False
50,False
34,False
