Envoy 2,isPartial
50,False
61,False
26,False
34,False
36,False
38,False
43,False
44,False
52,False
0,False
34,False
58,False
45,False
29,False
26,False
45,False
48,False
64,False
32,False
25,False
10,False
53,False
39,False
22,False
49,False
0,False
79,False
18,False
20,False
21,False
54,False
13,False
44,False
46,False
44,False
80,False
38,False
31,False
41,False
32,False
36,False
35,False
58,False
41,False
48,False
42,False
26,False
29,False
0,False
83,False
48,False
0,False
19,False
25,False
45,False
14,False
47,False
29,False
63,False
54,False
84,False
47,False
41,False
39,False
15,False
26,False
25,False
31,False
26,False
56,False
46,False
42,False
69,False
39,False
58,False
33,False
100,False
18,False
47,False
69,False
34,False
39,False
56,False
47,False
30,False
27,False
50,False
42,False
28,False
48,False
45,False
39,False
48,False
18,False
26,False
42,False
36,False
31,False
26,False
21,False
15,False
19,False
0,False
64,False
