Tom Clancy's Rainbow Six Siege,isPartial
38,False
25,False
32,False
50,False
37,False
17,False
36,False
27,False
29,False
43,False
0,False
0,False
19,False
33,False
21,False
22,False
12,False
0,False
0,False
12,False
16,False
22,False
27,False
0,False
38,False
40,False
35,False
33,False
0,False
22,False
40,False
0,False
30,False
39,False
28,False
0,False
16,False
0,False
20,False
22,False
50,False
0,False
0,False
39,False
0,False
0,False
16,False
28,False
0,False
15,False
12,False
24,False
20,False
0,False
0,False
21,False
0,False
54,False
28,False
26,False
21,False
42,False
24,False
67,False
45,False
23,False
33,False
0,False
19,False
100,False
0,False
27,False
0,False
15,False
0,False
33,False
19,False
25,False
30,False
22,False
54,False
18,False
18,False
21,False
0,False
0,False
55,False
24,False
0,False
11,False
23,False
0,False
0,False
57,False
10,False
0,False
0,False
0,False
0,False
16,False
19,False
19,False
28,False
17,False
